Sr No,Product Name,Category,GST,Offered Disc %,,,
215,Disney Hotstar 3 Months Subscription Voucher At 299-upto 2Device,Entertainment,--,4,,,
216,DocuBay,Entertainment,--,43,,,
217,Domino's Pizza,Food & Beverages,--,16,,,
218,Dune London-Luxe,Fashion & Lifestyle,--,12,,,
219,EaseMyTrip,Tour & Travel,--,6,,,
220,EatSure-B2C,Food & Beverages,--,9,,,
221,Elleven,Fashion & Lifestyle,--,10,,,
222,Epic On s-1 month subscription,Entertainment,--,6,,,
223,Epic On s-3 month subscription,Entertainment,--,6,,,
224,Epic On s-6 month subscription,Entertainment,--,6,,,
225,Estele,Jewellery,--,18.5,,,
226,ET Prime Subscription,E-Commerce,--,43,,,
227,Euphoria Gold Coin,Jewellery,--,5,,,
228,Faasos - B2C,Food & Beverages,--,9,,,
229,Fab Hotels,Food & Beverages,--,12,,,
230,Fancode B2B,Fashion & Lifestyle,--,7.5,,,
231,Fashion Factory,Fashion & Lifestyle,--,3.5,,,
232,Fastrack,Fashion & Lifestyle,--,8,,,
233,Fastrack Bags,Fashion & Lifestyle,--,7.5,,,
234,Femmella,Fashion & Lifestyle,--,8,,,
235,Ferns N Petals,E-Commerce,--,11,,,
236,FinuSmart Easy Cash,E-Commerce,--,16,,,
237,FinuSmart Suraksha,Wellness & Beauty,--,16,,,
238,FirstCry E-Gift Voucher,E-Commerce,--,6,,,
239,FITPASS,E-Commerce,--,20.5,,,
240,Flying Machine,Fashion & Lifestyle,--,7.5,,,
241,Forever New,Fashion & Lifestyle,--,7.5,,,
242,Freecultr,E-Commerce,--,20.5,,,
243,FreshMenu,Food & Beverages,--,3.75,,,
245,Gas-Luxe,Fashion & Lifestyle,--,12,,,
247,Girias,Fashion & Lifestyle,--,2.25,,,
246,Gini & Jony,E-Commerce,--,8,,,
250,Global Desi India,Fashion & Lifestyle,--,7.5,,,
248,Giva Jewellery,Jewellery,--,14,,,
249,Giva Jewellery Gold,Jewellery,--,5,,,
244,G-STAR RAW-Luxe,Fashion & Lifestyle,--,12,,,
251,GNC,Wellness & Beauty,--,12,,,
252,HAMLEYS - LUXE,Fashion & Lifestyle,--,12,,,
253,Hammer,Fashion & Lifestyle,--,23,,,
254,Health and Glow,Fashion & Lifestyle,--,9,,,
255,HealthKart,Wellness & Beauty,--,11,,,
256,Helios,Fashion & Lifestyle,--,8,,,
257,Hidesign,E-Commerce,--,12,,,
258,Himalaya e-Gift Voucher,Wellness & Beauty,--,4,,,
259,Hoichoi E-Gift Voucher,Entertainment,--,13.5,,,
260,Home Centre-B2C,E-Commerce,--,5,,,
261,HopInTown PLUS 1 Year Lifestyle Membership,Fashion & Lifestyle,--,8,,,
262,HopInTown PLUS Pack of 2 Lifestyle Membership,Fashion & Lifestyle,--,8,,,
263,HopInTown PLUS Pack of 3 Lifestyle Membership,Fashion & Lifestyle,--,8,,,
264,HopInTown PLUS Pack of 5 Lifestyle Membership,Fashion & Lifestyle,--,8,,,
265,HU-IKEA E-Gift Voucher,E-Commerce,--,4.5,,,
266,Hush Puppies,Sports & Footwears,--,12.5,,,
267,Imagine Apple Premium Reseller,E-Commerce,--,1.75,,,
471,House of Vaaree,Fashion & Lifestyle,--,13,,,
269,ITC Hotels,Food & Beverages,--,7.5,,,
268,Indian Terrains,Fashion & Lifestyle,--,12,,,
271,JhakaasYearly E Gift Voucher - OTT Play Subscription,Entertainment,--,29,,,
272,Jhakaas Quarterly E-Gift Voucher,Entertainment,--,29,,,
270,JACK & JONES,Fashion & Lifestyle,--,10,,,
274,Jos Alukkas Jewellery,Jewellery,--,3.75,,,
275,Joyalukkas Diamond,Jewellery,--,4.65,,,
276,Joyalukkas Gold and Diamond,Jewellery,--,3.15,,,
277,Joyalukkas Pure Gold,Jewellery,--,1.9,,,
278,Kalyan Diamond,Jewellery,--,6.8,,,
279,Kalyan Gold Coin,Jewellery,--,2.05,,,
280,Kalyan Gold Jewellery,Jewellery,--,2.5,,,
281,Kama Ayurveda,Wellness & Beauty,--,11,,,
282,Ketan Diamonds Diamond Only,Jewellery,--,11.5,,,
283,Ketan Diamonds Gold Coin,Jewellery,--,2,,,
284,Ketan Diamonds Gold Jewellery,Jewellery,--,5,,,
285,Kiehls,Wellness & Beauty,--,4.5,,,
286,KUKUFM 899 E-Gift Voucher,Entertainment,--,56,,,
287,Lakme Salon,Wellness & Beauty,--,4.5,,,
273,Jockey,Fashion & Lifestyle,--,12,,,
288,Lee,Fashion & Lifestyle,--,7.5,,,
289,LENSKART,Fashion & Lifestyle,--,12,,,
290,Levi's,Fashion & Lifestyle,--,9,,,
291,Lifestyle-B2C,Fashion & Lifestyle,--,5,,,
293,Lite Bite Food,Food & Beverages,--,7.5,,,
294,Live Mint,E-Commerce,--,38,,,
292,Linen Club,Fashion & Lifestyle,--,9,,,
295,LOIPL HCs,Fashion & Lifestyle,--,5,,,
296,LOIPL Lifestyles,Fashion & Lifestyle,--,5,,,
297,LOIPL Maxs,Fashion & Lifestyle,--,9.5,,,
299,Love Beauty & Planet,Wellness & Beauty,--,11,,,
300,Lulu Hypermarkets,Entertainment,--,1.75,,,
298,Louis Philippe,Fashion & Lifestyle,--,3.75,,,
302,Machaan,Food & Beverages,--,12.5,,,
303,Mainland China,Food & Beverages,--,12.5,,,
304,MakeMyTrip Bus,Tour & Travel,--,2.75,,,
305,MakeMyTrip e-Pay,Tour & Travel,--,6.5,,,
306,Makemytrip Holiday,Tour & Travel,--,10,,,
307,MakeMyTrip Hotel e-Pay,Tour & Travel,--,10,,,
308,MakeMyTrip Rail,Tour & Travel,--,0.75,,,
309,Mamaearth,Wellness & Beauty,--,12,,,
301,Luxe,Fashion & Lifestyle,--,12,,,
311,Marriott Hotels India - B2C,Tour & Travel,--,7,,,
312,Marriott India Egift Card-Dining Variant,Tour & Travel,--,7,,,
313,Marriott India Egift Card-SPA Variant,Tour & Travel,--,7,,,
310,Marks & Spencer,Fashion & Lifestyle,--,11,,,
315,McDonald’s McCafe Membership Card - Gold,Food & Beverages,--,4,,,
316,McDonald’s McCafe Membership Card - Platinum,Food & Beverages,--,4,,,
317,McDonald’s McCafe Membership Card - Silver,Food & Beverages,--,4,,,
318,McDonalds,Food & Beverages,--,12,,,
319,MediBuddy-2499,Wellness & Beauty,--,8,,,
314,MAX,Fashion & Lifestyle,--,6,,,
320,Mia By Tanishq,Fashion & Lifestyle,--,3.75,,,
322,MORE,Food & Beverages,--,4,,,
321,MiniKlub,Fashion & Lifestyle,--,12,,,
324,My Jio Store E-Gift Voucher,E-Commerce,--,3.5,,,
325,MyGlamms,Wellness & Beauty,--,15,,,
326,myUpchar Medicines,Wellness & Beauty,--,3.5,,,
327,Nature's Basket,Food & Beverages,--,0.75,,,
328,Net Protector Mobile PRO Security (2U.1Y),E-Commerce,--,67,,,
329,Net Protector Parental Control,E-Commerce,--,53,,,
330,Net Protector Safeguard Gold,E-Commerce,--,46,,,
331,Netmeds,Wellness & Beauty,--,11,,,
332,Norton360 AV 2GB 1349 E-Gift Voucher,E-Commerce,--,51,,,
333,Norton360 DLX 50GB 2999 E-Gift Voucher,E-Commerce,--,52,,,
334,Norton360 SD 10GB 2099 E-Gift Voucher,E-Commerce,--,50,,,
335,Nykaa,Wellness & Beauty,--,5.5,,,
323,MOTHER CARE-Luxe,Fashion & Lifestyle,--,12.5,,,
336,Nykaa Fashion,Fashion & Lifestyle,--,5.5,,,
338,Oh! Calcutta,Food & Beverages,--,12.5,,,
339,OLA CABS,Tour & Travel,--,4.5,,,
337,Nykaa Men,Fashion & Lifestyle,--,5.5,,,
341,ORGANIC INDIA,Wellness & Beauty,--,11,,,
342,Ornaz,Jewellery,--,10.5,,,
343,Ovenstory - B2C,Food & Beverages,--,9,,,
340,Only,Fashion & Lifestyle,--,11,,,
345,PC Chandra Gems Gold Coin,Jewellery,--,0.75,,,
346,PC Jeweller Diamond,Jewellery,--,4,,,
347,PC Jeweller Gold,Jewellery,--,2.5,,,
348,PC Jeweller Gold Coin,Jewellery,--,0.5,,,
349,PCJ Diamond Jewellery,Jewellery,--,4.5,,,
350,PCJ Gold Jewellery,Jewellery,--,1.75,,,
344,Pantaloons,Fashion & Lifestyle,--,8,,,
351,Peter England E-Gift Voucher,Fashion & Lifestyle,--,3.75,,,
353,Points for Good,E-Commerce,--,9,,,
354,Polar Bears,Food & Beverages,--,4.5,,,
352,Planet Fashion,Fashion & Lifestyle,--,3.75,,,
356,Power Play Yearly E-Gift Voucher-OTTplay Subscription Vouchers,Entertainment,--,29,,,
357,Power Play Monthly E-Gift Voucher-OTTPlay Subscription Vouchers,Entertainment,--,29,,,
358,Prestige,Food & Beverages,--,10,,,
359,Puma E-Gift Voucher,Sports & Footwears,--,9,,,
360,Punjab Grill,Food & Beverages,--,7.5,,,
361,PVR,Entertainment,--,16,,,
362,Quick Heal Antivirus E-Gift Voucher,E-Commerce,--,34,,,
363,Quick Heal Internet Security E-Gift Voucher,E-Commerce,--,26,,,
364,Quick Heal Total Security Android E-Gift Voucher,E-Commerce,--,23,,,
365,Quick Heal Total Security E-Gift Voucher,E-Commerce,--,30,,,
355,Polaroid,Fashion & Lifestyle,--,9,,,
366,Rangoli Sarees,Fashion & Lifestyle,--,6,,,
368,Relaxo,Sports & Footwears,--,9,,,
367,Ray-Bans,Fashion & Lifestyle,--,7.5,,,
370,Reliance Jewels,Jewellery,--,3.75,,,
371,Reliance Jio Mart,E-Commerce,--,3.75,,,
372,Reliance Smart,E-Commerce,--,3.5,,,
373,Reliance Smart Point,Food & Beverages,--,3.5,,,
369,Reliance Digital,Fashion & Lifestyle,--,3.75,,,
375,RESONATE RouterUPS,Entertainment,--,9,,,
376,Samsonite,Tour & Travel,--,4,,,
374,Reliance Trends E-Gift Voucher,Fashion & Lifestyle,--,5,,,
377,Scotch & Soda-Luxe,Fashion & Lifestyle,--,12,,,
379,Seniority,E-Commerce,--,9,,,
380,Shiv Naresh,Sports & Footwears,--,8,,,
381,SIGREE,Food & Beverages,--,12.5,,,
378,Selected Homme,Fashion & Lifestyle,--,10,,,
383,Simple,Wellness & Beauty,--,12,,,
384,Skechers,Sports & Footwears,--,10,,,
385,Skinn,Wellness & Beauty,--,7.5,,,
386,Skullcandy,Entertainment,--,11,,,
382,Simon Carter eGift cards,Fashion & Lifestyle,--,4,,,
388,Smile Foundation,Wellness & Beauty,--,15,,,
389,SonyLIV Monthly,Entertainment,--,55,,,
390,SonyLIV Yearly,Entertainment,--,55,,,
391,SOTC Travels,Tour & Travel,--,4.5,,,
387,Sleepwell,Fashion & Lifestyle,--,20.5,,,
393,Spencer's,Sports & Footwears,--,0.75,,,
392,Speedo,Fashion & Lifestyle,--,12,,,
395,SPOTIFY PREMIUM 1 MONTH SUBSCRIPTION E-Gift Voucher,Entertainment,INCLUSIVE,3.5,,,
396,SPOTIFY PREMIUM 3 MONTHS SUBSCRIPTION E-Gift Voucher,Entertainment,--,3.5,,,
397,SPOTIFY PREMIUM 6 MONTHS SUBSCRIPTION E-Gift Voucher,Entertainment,--,3.5,,,
398,SPOTIFY PREMIUM ANNUAL SUBSCRIPTION E-Gift Voucher,Entertainment,--,3.5,,,
399,Starbucks E-Gift Voucher,Food & Beverages,--,6,,,
400,Sterling Holidays,Tour & Travel,--,12,,,
394,Spencer's Retail,Fashion & Lifestyle,--,4.5,,,
402,Street Foods By PUNJAB Grill,Food & Beverages,--,7.5,,,
401,Steve Madde-Luxe,Fashion & Lifestyle,--,12,,,
404,SuperCoin E-Gift Voucher,E-Commerce,--,21,,,
403,SUPA B2B,Fashion & Lifestyle,--,7.5,,,
406,Surat Diamonds Main,Jewellery,--,12.5,,,
407,Surat Diamonds Solitaire,Jewellery,--,2,,,
408,Sweet Bengal,Food & Beverages,--,12.5,,,
409,Swiggy Money Voucher,Food & Beverages,--,2.5,,,
410,Swiggy One Lite Rs 109 E-Gift Voucher,Food & Beverages,--,19,,,
411,Taj Experiences,Tour & Travel,--,8.25,,,
412,Taj Hotels,Tour & Travel,--,5.5,,,
405,Superdry-Luxe,Fashion & Lifestyle,--,12,,,
414,Tanishq Jewellery,Jewellery,--,1.75,,,
415,Tanishq Studded,Jewellery,--,3.5,,,
413,Taneira,Fashion & Lifestyle,--,7.5,,,
417,Tata Cliq Palette,E-Commerce,--,6,,,
418,TBZ-The Original Jewellery Retail ,Jewellery,--,1.25,,,
416,TATA CLiQ,Fashion & Lifestyle,--,7.5,,,
419,TCNS Aurelia eGift Cards,Fashion & Lifestyle,--,9.5,,,
421,TEGO,Sports & Footwears,--,16.5,,,
422,TGIF,Food & Beverages,--,11,,,
423,The Body Shop,Wellness & Beauty,--,4.5,,,
424,The Collective,E-Commerce,--,3.75,,,
425,The Man Company,Wellness & Beauty,--,14.5,,,
426,The Postcard Hotelss,Tour & Travel,--,9,,,
420,TCNS W eGift Cards,Fashion & Lifestyle,--,9.5,,,
428,Times Prime E-Gift Voucher,Entertainment,--,28,,,
429,Timezone,Sports & Footwears,--,12,,,
430,Titan,E-Commerce,--,7.5,,,
427,The Raymond Shop,Fashion & Lifestyle,--,9,,,
432,Toscano,Food & Beverages,--,12,,,
433,Trends Footwear E-Gift Voucher,Sports & Footwears,--,4.5,,,
431,Titan Minimals,Fashion & Lifestyle,--,7.5,,,
434,Trends Junior E-Gift Voucher,Fashion & Lifestyle,--,4.5,,,
435,Trends Man E-Gift Voucher,Fashion & Lifestyle,--,4.5,,,
437,TRUEFITT & HILL,Wellness & Beauty,--,23,,,
438,Uber,Tour & Travel,--,3.75,,,
436,Trends Women E-Gift Voucher,Fashion & Lifestyle,--,4.5,,,
440,US Polo Assn,Sports & Footwears,--,7.5,,,
439,Urban Ladder,Fashion & Lifestyle,--,12,,,
441,V Mart,Fashion & Lifestyle,--,9.5,,,
442,Van Heusen,Fashion & Lifestyle,--,3.75,,,
443,Vero Modas,Fashion & Lifestyle,--,10,,,
444,Vijay Sales,Fashion & Lifestyle,--,2.5,,,
445,W,Fashion & Lifestyle,--,10,,,
447,Watcho Dish TV-149,Entertainment,--,8,,,
448,Watcho Dish TV-199,Entertainment,--,8,,,
449,Watcho Dish TV-249,Entertainment,--,8,,,
